No.,Icon,,Spell,Aspect / Damage,Rank,Description,Notes,Location,Level,Instance
1,,FALSE,Water Cannon,Water,★,Delivers water damage with a potency of 120.,"This spell, easily mastered via defeat of a kraken, fires a concentrated burst of water at one's opponent. As the liquid itself is conjured by manipulating aether to condense moisture in the air, the technique remains effective regardless of whether or not its caster has access to a body of water.",Default,1,
2,,FALSE,Flame Thrower,Fire,★★★,Deals fire damage with a potency of 130 to all enemies in a cone before you.,"As with thaumaturgical fire spells, the jet of flame produced by this technique manifests from a burst of fire-aspected aether. Certain weapons produce similar effects; however, this is not through aetherial manipulation, but rather the copious use of highly flammable liquid.",Brayflox's Longstop (Hard) — Gobmachine G-VI,50,
3,,FALSE,Aqua Breath,Water,★★★★,Deals water damage with a potency of 90 to all enemies in a cone before you.,"The most quintessential of water-aspected blue magicks. A competent mage will not only use its bubbles to smother nearby enemies, but also incorporate poisons, sealing the fates of any survivors.","The Dragon's Neck — Ultros
The Whorleater (Hard) — Leviathan",50,
4,,FALSE,Flying Frenzy,Blunt,★★★★,Delivers a jumping attack with a potency of 80 to target and all enemies nearby it. Cannot be executed while bound.,"Replicating this technique requires magically altering one's own state of mind to mimic that of a zu. The flying strike that results surpasses normal physical limitations, but requires dispensing with caution in favor of an all-consuming rage─the sensible mage will shield herself with aether first.",Pharos Sirius — Zu,50,
5,,FALSE,Drill Cannons,Piercing,★★,Deals unaspected damage with a potency of 120 to all enemies in a straight line before you.,"This technique mimics the Drill Cannons of machina by winding aetherial currents until they resemble rapidly spinning projectiles. Like the physical drills upon which they are patterned, these projectiles excel at penetrating stone.","Northern Thanalan (Reverse Engineering FATE) — Abandoned Vanguard
Northern Thanalan (x16,y15) — Magitek Vanguard H-2",46,
6,,FALSE,High Voltage,Lightning,★★★★,Deals lightning damage with a potency of 90 to all nearby enemies.,"An industrial form of machina-based aetherial manipulation developed and adapted by the Allagan Empire. Through the compression of ambient lightning-aspected aether, the caster (or casting machina) floods the vicinity with highly charged arcs of electricity.","The Binding Coil of Bahamut - Turn 1 — ADS
The Binding Coil of Bahamut - Turn 2 — ADS",50,
7,,FALSE,Loom,None,★,Move quickly to the specified location. Cannot use when bound.,"To utilize this simple teleportation magic, casters must create an aetherial current upon which to travel between their location and the desired position. Though this is only effective over short distances, it is nevertheless an invaluable tool in the event that one needs to beat a hasty retreat.",Northern Thanalan (Rank B Elite Mark) — Flame Sergeant Dalvag,50,
8,,FALSE,Final Sting,Piercing,★★,"Deals unaspected damage with a potency of 1,500 while incapacitating self.","A desperate mage's last resort, this technique converts all of the user's life force to an aetherial poison that is then injected into a single adversary. Suffice it to say that, as with the physical sting of the wespe, it should not be relied upon in but the most dire of circumstances.","Middle La Noscea (x15,y15) — Killer Wespe",13,
9,,FALSE,Song of Torment,None,★★,Deals unaspected damage with a potency of 50.,"Favored by sirens, the Song of Torment carries in its melody a malicious enchantment. It ensnares the listener's spirit, inducing phantom pain that soon becomes physical as the body struggles to process the mind's trauma.",Pharos Sirius — Siren,50,
10,,FALSE,Glower,Lightning,★★★★,Deals lightning damage with a potency of 130 to all enemies in a straight line before you.,"Perhaps best known as the unsettling hallmark of the cyclops, Glower involves funneling aether through the eyes as if they were arcane circles─much like its sister spell, The Look. Its highly concentrated aether strikes foes like a levinbolt, leaving their skin singed and muscles seizing.",The Aurum Vale — Coincounter,47,
